,movie_title,release_date,genre,avg_rating,prod_budget,domestic_gross,global_gross,release_month,ROI,global_gross_millions,prod_budget_millions,budget_category,rating_category,roi_category
1361,Legal Eagles,1986-06-18,comedy,6.0,40000000,49851591,49851591,Jun,0.246289775,49.85,40.0,Moderate Budget,Low Rating,Moderate ROI
3507,American Anthem,1986-06-27,drama,4.8,7000000,3571624,3571624,Jun,-0.489768,3.57,7.0,Low Budget,Low Rating,Low ROI
1450,Pirates,1986-07-01,action,6.0,40000000,1641825,6341825,Jul,-0.841454375,6.34,40.0,Moderate Budget,Low Rating,Low ROI
2111,Big Trouble in Little China,1986-07-01,action,7.2,25000000,11100000,11208967,Jul,-0.55164132,11.21,25.0,Moderate Budget,High Rating,Low ROI
2615,Aliens,1986-07-18,action,8.4,17000000,85160248,183294899,Jul,9.782052882352941,183.29,17.0,Moderate Budget,High Rating,High ROI
3922,Friday the 13th Part VI: Jason Lives,1986-08-01,horror,6.0,3000000,19472057,19472523,Aug,5.490841,19.47,3.0,Low Budget,Low Rating,High ROI
1833,Howard the Duck,1986-08-01,action,4.7,30000000,16295774,16295774,Aug,-0.45680753333333335,16.3,30.0,Moderate Budget,Low Rating,Low ROI
3392,Stand by Me,1986-08-08,adventure,8.1,8000000,52287414,52287766,Aug,5.53597075,52.29,8.0,Low Budget,High Rating,High ROI
4352,She's Gotta Have It,1986-08-08,comedy,6.8,175000,7137502,7137502,Aug,39.78572571428571,7.14,0.18,Low Budget,Moderate Rating,High ROI
3765,The Texas Chainsaw Massacre 2,1986-08-22,comedy,5.6,4700000,8025872,8025872,Aug,0.7076323404255319,8.03,4.7,Low Budget,Low Rating,Moderate ROI
2648,Shanghai Surprise,1986-08-29,adventure,3.2,17000000,2315000,2315000,Aug,-0.8638235294117647,2.32,17.0,Moderate Budget,Low Rating,Low ROI
3363,Crocodile Dundee,1986-09-26,action,6.6,8800000,174803506,328203506,Sep,36.29585295454545,328.2,8.8,Low Budget,Moderate Rating,High ROI
4170,Down by Law,1986-09-26,comedy,7.7,1100000,1436000,1436000,Sep,0.3054545454545455,1.44,1.1,Low Budget,High Rating,Moderate ROI
1641,Playing for Keeps,1986-10-03,comedy,4.3,35000000,2000000,2000000,Oct,-0.9428571428571428,2.0,35.0,Moderate Budget,Low Rating,Low ROI
2549,Peggy Sue Got Married,1986-10-10,comedy,6.4,18000000,41382841,41382841,Oct,1.2990467222222222,41.38,18.0,Moderate Budget,Moderate Rating,Moderate ROI
3150,The Color of Money,1986-10-17,drama,7.0,10000000,52293000,52293000,Oct,4.2293,52.29,10.0,Low Budget,High Rating,High ROI
2148,Star Trek IV: The Voyage Home,1986-11-26,action,7.3,24000000,109713132,133000000,Nov,4.541666666666667,133.0,24.0,Moderate Budget,High Rating,High ROI
2988,The Golden Child,1986-12-12,action,5.9,12000000,79817937,79817937,Dec,5.65149475,79.82,12.0,Low Budget,Low Rating,High ROI
3250,King Kong Lives,1986-12-19,action,3.9,10000000,4711220,4711220,Dec,-0.528878,4.71,10.0,Low Budget,Low Rating,Low ROI
3551,Platoon,1986-12-19,drama,8.1,6000000,137963328,137978395,Dec,21.996399166666667,137.98,6.0,Low Budget,High Rating,High ROI
1784,Little Shop of Horrors,1986-12-19,comedy,7.1,30000000,38747385,38747385,Dec,0.2915795,38.75,30.0,Moderate Budget,High Rating,Moderate ROI
4050,Witchboard,1986-12-31,horror,5.6,2000000,7369373,7369373,Dec,2.6846865,7.37,2.0,Low Budget,Low Rating,High ROI
4304,American Ninja 2: The Confrontation,1987-01-01,action,4.9,350000,4000000,4000000,Jan,10.428571428571429,4.0,0.35,Low Budget,Low Rating,High ROI
3998,Maurice,1987-01-01,drama,7.7,2600000,3147950,3305831,Jan,0.2714734615384615,3.31,2.6,Low Budget,High Rating,Moderate ROI
2688,Radio Days,1987-01-30,comedy,7.4,16000000,14792779,14792779,Jan,-0.0754513125,14.79,16.0,Moderate Budget,High Rating,Low ROI
4367,Hollywood Shuffle,1987-03-01,comedy,6.9,100000,5228617,5228617,Mar,51.28617,5.23,0.1,Low Budget,High Rating,High ROI
3837,The Barbarians,1987-03-01,action,4.9,4000000,800000,800000,Mar,-0.8,0.8,4.0,Low Budget,Low Rating,Low ROI
2732,Lethal Weapon,1987-03-06,action,7.6,15000000,65192350,120192350,Mar,7.012823333333333,120.19,15.0,Low Budget,High Rating,High ROI
3884,Evil Dead II,1987-03-13,comedy,7.7,3500000,5923044,5927557,Mar,0.6935877142857143,5.93,3.5,Low Budget,High Rating,Moderate ROI
3262,Malone,1987-05-01,action,5.8,10000000,3000000,3000000,May,-0.7,3.0,10.0,Low Budget,Low Rating,Low ROI
3876,Creepshow 2,1987-05-01,fantasy,6.0,3500000,14000000,14000000,May,3.0,14.0,3.5,Low Budget,Low Rating,High ROI
1427,Ishtar,1987-05-15,action,4.6,40000000,14375181,14375181,May,-0.640620475,14.38,40.0,Moderate Budget,Low Rating,Low ROI
2293,Beverly Hills Cop II,1987-05-20,action,6.5,20000000,153665036,276665036,May,12.8332518,276.67,20.0,Moderate Budget,Moderate Rating,High ROI
2026,The Untouchables,1987-06-03,crime,7.8,25000000,76270454,76271995,Jun,2.0508798,76.27,25.0,Moderate Budget,High Rating,Moderate ROI
2536,Predator,1987-06-12,action,7.8,18000000,59735548,98267558,Jun,4.459308777777777,98.27,18.0,Moderate Budget,High Rating,High ROI
2208,Spaceballs,1987-06-24,adventure,7.1,22700000,38119483,38119483,Jun,0.6792723788546255,38.12,22.7,Moderate Budget,High Rating,Moderate ROI
1772,Full Metal Jacket,1987-06-26,drama,8.3,30000000,45015999,45017134,Jun,0.5005711333333334,45.02,30.0,Moderate Budget,High Rating,Moderate ROI
2919,RoboCop,1987-07-17,action,7.6,13000000,53424681,54125172,Jul,3.163474769230769,54.13,13.0,Low Budget,High Rating,High ROI
3529,La Bamba,1987-07-24,biography,6.9,6500000,54215416,54215416,Jul,7.34083323076923,54.22,6.5,Low Budget,High Rating,High ROI
2639,Superman IV: The Quest for Peace,1987-07-24,action,3.7,17000000,14522355,36700000,Jul,1.1588235294117648,36.7,17.0,Moderate Budget,Low Rating,Moderate ROI
1358,The Living Daylights,1987-07-31,action,6.7,40000000,51185000,191199996,Jul,3.7799999,191.2,40.0,Moderate Budget,Moderate Rating,High ROI
3370,The Lost Boys,1987-07-31,comedy,7.2,8500000,32222567,32393651,Jul,2.8110177647058823,32.39,8.5,Low Budget,High Rating,High ROI
4181,Hellraiser,1987-09-11,horror,6.9,1000000,14564000,14575148,Sep,13.575148,14.58,1.0,Low Budget,High Rating,High ROI
2852,Fatal Attraction,1987-09-18,drama,6.9,14000000,156645693,320099997,Sep,21.8642855,320.1,14.0,Low Budget,High Rating,High ROI
2765,The Princess Bride,1987-09-25,adventure,8.0,15000000,30857000,31046220,Sep,1.069748,31.05,15.0,Low Budget,High Rating,Moderate ROI
1891,Cry Freedom,1987-11-06,biography,7.4,29000000,5899797,25899797,Nov,-0.10690355172413793,25.9,29.0,Moderate Budget,High Rating,Low ROI
1789,The Running Man,1987-11-13,action,6.6,30000000,38122000,38122000,Nov,0.2707333333333333,38.12,30.0,Moderate Budget,Moderate Rating,Moderate ROI
2045,The Last Emperor,1987-11-20,biography,7.7,25000000,43984987,44005435,Nov,0.7602174,44.01,25.0,Moderate Budget,High Rating,Moderate ROI
3943,Teen Wolf Too,1987-11-20,comedy,3.4,3000000,7888000,7888000,Nov,1.6293333333333333,7.89,3.0,Low Budget,Low Rating,Moderate ROI
2655,Wall Street,1987-12-11,crime,7.3,16500000,43848100,43848100,Dec,1.657460606060606,43.85,16.5,Moderate Budget,High Rating,Moderate ROI
3485,Action Jackson,1988-02-12,action,5.5,7000000,20257000,20257000,Feb,1.893857142857143,20.26,7.0,Low Budget,Low Rating,Moderate ROI
3576,School Daze,1988-02-12,comedy,6.1,6000000,14545844,14545844,Feb,1.4243073333333334,14.55,6.0,Low Budget,Moderate Rating,Moderate ROI
4120,Bloodsport,1988-02-26,action,6.8,1500000,11806119,11806119,Feb,6.870746,11.81,1.5,Low Budget,Moderate Rating,High ROI
2727,Beetlejuice,1988-03-30,comedy,7.5,15000000,73839613,74456266,Mar,3.9637510666666667,74.46,15.0,Low Budget,High Rating,High ROI
